名称,标签,地址,简介,图片URL,详情页
稻香村,美食老字号,前门大街59号,稻香村集团的前身为苏州稻香村，始创于公元1773年（清乾隆三十八年）的苏州，中国糕点行业现存历史最悠久的企业之一。,https://r1.visitbeijing.com.cn/vbj-s/2019/0215/20190215055717395.jpg,https://s.visitbeijing.com.cn/food/362
北京三元梅园食品有限公司,美食老字号,团结湖路36号,三元梅园乳品店，从第一家梅园台基厂店开业，到今天已发展到拥有三十家分店。在北京的大街小巷，不经意间，就会发现有三元梅园分店的身影。,https://r1.visitbeijing.com.cn/vbj-s/2020/0325/20200325041222380.jpg,https://s.visitbeijing.com.cn/food/356
白魁老号饭庄,美食老字号,安定门内大街195号,白魁老号饭庄清真老字号饭庄，以经营烧羊肉为特色，创办人白魁。前身为东长顺清真饭馆，清乾隆四十五年(1780)在隆福寺庙东侧开业。光绪...,https://r1.visitbeijing.com.cn/vbj-s/2016/1212/20161212042437836.jpg,https://s.visitbeijing.com.cn/food/315
桂顺斋,美食老字号,南大街41号,桂顺斋，是一个拥有80年历史的老字号清真糕点店铺。以经营各式清真糕点而闻名，是回族人刘珍于1924年始创。主要产品有：萨其马、蜜麻花...,https://r1.visitbeijing.com.cn/vbj-s/2016/1212/20161212034239565.jpg,https://s.visitbeijing.com.cn/food/313
九龙斋,美食老字号,—,传统老字号，有“止渴梅汤冰镇久，驰名无过九条龙”说法，并获得过“京都第一”称誉。产品保持全天然熬制，属正宗老北京酸梅汤做法。,https://r1.visitbeijing.com.cn/vbj-s/2016/1027/20161027043259372.png,https://s.visitbeijing.com.cn/food/310
老门框,美食老字号,胜古南里8号楼东侧,金宝街地段似乎一直笼罩在高端大气的华丽范儿下。然而走过一个红绿灯来到金宝街东段，百年老店老门框爆肚静悄悄地开在鄂尔多斯酒店对面...,https://r1.visitbeijing.com.cn/vbj-s/2016/1026/20161026052215377.jpg,https://s.visitbeijing.com.cn/food/307
致美楼,美食老字号,前门西大街正阳市场2号楼(近肯德基),致美楼，位于北京市前门大栅栏。开业于明末清初，原为姑苏菜馆，后改为山东菜系，位于前门外煤市街。,https://r1.visitbeijing.com.cn/vbj-s/2016/1025/20161025012746679.png,https://s.visitbeijing.com.cn/food/302
隆福寺小吃店,美食老字号,—,隆福寺小吃店位于北京市东城区东四的小吃街，是老北京最著名的老字号之一。,https://r1.visitbeijing.com.cn/vbj-s/2016/0829/20160829065734783.jpg,https://s.visitbeijing.com.cn/food/281
松鹤楼,美食老字号,南礼士路乙9号院1号楼,松鹤楼，清乾隆二十二年(1757年)由徐氏在苏州玄妙观创建，经营面点带卖饭菜。迄今已有二百五十多年的历史。由于古人以松鹤寓长寿，故取...,https://r1.visitbeijing.com.cn/vbj-s/2016/0829/20160829053322594.jpg,https://s.visitbeijing.com.cn/food/279
小肠陈,美食老字号,南横东街194号,北京的街头巷尾，都有卖卤煮火烧的店家，过去还有肩挑小担的流动商贩出售这种食品。特别是夕阳西下，卤煮小肠开锅出售时，人们从很远的...,https://r1.visitbeijing.com.cn/vbj-s/2016/0829/20160829052736539.jpg,https://s.visitbeijing.com.cn/food/278
百花牌蜂蜜,美食老字号,—,百花牌蜂蜜能拉出很长的丝，闻起来味道有点微酸。而纯正天然的蜂蜜，正好是味道甜润，略带微酸，略带辣味，搀假的蜂蜜味虽甜，但夹杂着...,https://r1.visitbeijing.com.cn/vbj-s/2016/0823/20160823050852587.jpg,https://s.visitbeijing.com.cn/food/269
壹条龙,美食老字号,前门大街27号(前门步行街内),原名南恒顺羊肉馆，创建于乾隆50年(公元1785年)是北京比较早的有名回民涮羊肉馆。相传光绪皇帝慕名微服进店吃涮羊肉，遂改名为壹条龙。...,https://r1.visitbeijing.com.cn/vbj-s/2016/0822/20160822120242380.jpg,https://s.visitbeijing.com.cn/food/264
奶酪魏,美食老字号,—,清光绪初年，奶酪魏创始人魏鸿臣从宫廷里的御厨中学到了这门手艺，后来赢得了顾客的一片赞誉，得美名奶酪魏。奶酪魏家的绝活就是制作合碗酪...,https://r1.visitbeijing.com.cn/vbj-s/2013/1118/20131118111740506.jpg,https://s.visitbeijing.com.cn/food/169
全素斋,美食老字号,—,全素斋创始人刘海泉，14岁起便在清宫膳做事。掌握了宫廷素菜的烹饪技艺，做得一手好素菜。清光绪二十八年（公元1902年），刘海泉离开御膳房。,https://r1.visitbeijing.com.cn/vbj-s/2013/0523/20130523034129297.jpg,https://s.visitbeijing.com.cn/food/150
玉华台饭庄,美食老字号,马甸桥裕民路裕中西里小区23号楼（会展中心旁）,玉华台饭庄创建于民国十年（1921年），最早原址在北京王府井北口的八面槽，是经营淮扬菜的老字号之一，1994年被原国内贸易部评为“中华老字号”。,https://r1.visitbeijing.com.cn/vbj-s/2012/1210/20121210103516255.jpg,https://s.visitbeijing.com.cn/food/89
又一顺,美食老字号,德外黄寺大街28号(德胜置业大厦旁边),又一顺饭庄是北京著名的清真风味饭庄，创建于1948年8月8日。,https://r1.visitbeijing.com.cn/vbj-s/2013/0110/20130110102212369.jpg,https://s.visitbeijing.com.cn/food/88
仿膳饭庄,美食老字号,北京北海公园北门内（近九龙壁）,仿膳饭庄位于北海公园内，是以经营宫廷风味菜点而驰名中外的老字号饭庄，至今已有70多年的历史。,https://r1.visitbeijing.com.cn/vbj-s/2012/1209/20121209091010858.jpg,https://s.visitbeijing.com.cn/food/62
正阳楼,美食老字号,—,在正阳楼吃涮羊肉，据老人们说，讲究的是佐料全。,https://r1.visitbeijing.com.cn/vbj-s/2021/1124/20211124134911192.png,https://s.visitbeijing.com.cn/food/55
柳泉居,美食老字号,新街口南大街178号（近平安里地铁站）,柳泉居是北京著名的八大居之一，始建于明代隆庆年间，距今已有四百多年的历史，是饮誉京城的中华老字号。,https://r1.visitbeijing.com.cn/vbj-s/2012/1206/20121206035815416.jpg,https://s.visitbeijing.com.cn/food/13
东兴楼,美食老字号,北京市东城区东直门内大街5号,东兴楼，坐落在东安门大街路北的东兴楼饭庄，创业于清光绪二十八年（1902年）。是一座前出廊后出厦的大四合院。东兴楼被同行誉为“八大”鲁菜饭庄之首。,https://r1.visitbeijing.com.cn/vbj-s/2013/0523/20130523022803319.jpg,https://s.visitbeijing.com.cn/food/149
泰丰楼,美食老字号,北京市东城区前门西大街2号,泰丰楼，创办人为山东海阴孙氏，原址在前门外煤市街一号，是名噪京都的“八大楼”之一。清末，孙氏又将泰丰楼兑给了他的同省老乡福山县的孙永利和朱百平两个人。,https://r1.visitbeijing.com.cn/vbj-s/2013/0523/20130523014435980.jpg,https://s.visitbeijing.com.cn/food/147
天兴居,美食老字号,北京市东城区鲜鱼口街81-83号,天兴居以炒肝闻名，其色泽喜人，肥而不腻。 将“白水杂碎”中的心肺去掉，用除去腥臭味洗净的猪肠猪肝为原料，加上葱、姜、蒜末酱色和勾芡，定名“炒肝”。,https://r1.visitbeijing.com.cn/vbj-s/2013/0523/20130523011335787.jpg,https://s.visitbeijing.com.cn/food/146
东来顺,美食老字号,东城区王府井大街138号北京APM 5楼,东来顺的创始人叫丁德山，字子清，河北沧州人，早年是往城里送黄土的苦力。,https://r1.visitbeijing.com.cn/vbj-s/2012/1207/20121207055224461.jpg,https://s.visitbeijing.com.cn/food/46
淮扬春,美食老字号,北京市西城区三里河东路10号2层,淮扬春饭店位于西城区社会路路口的淮扬春饭店，虽然是近年落成开业，但淮扬春的字号，却是60年前的老字号，是老北京人熟悉的一家饭馆。...,https://r1.visitbeijing.com.cn/vbj-s/2016/1027/20161027044349808.png,https://s.visitbeijing.com.cn/food/312
庆云楼,美食老字号,北京西城区什刹海前海东沿22号近银锭桥东侧、地安门商场西北侧,庆云楼是北京最早的高端鲁菜酒楼，始建于清道光1820年，坐落于烟袋斜街内，距燕京八景之一的银锭观山仅一步之遥，曾是昔日诗酒流连之地。,https://r1.visitbeijing.com.cn/vbj-s/2016/1027/20161027043731219.png,https://s.visitbeijing.com.cn/food/311
南来顺,美食老字号,西城区黑窑厂西里一号楼底商,南来顺饭庄是有着近70年历史的京华老字号，以爆、烤、涮等烹饪特色闻名京城，其小吃宴更是精美绝伦，独领风骚。,https://r1.visitbeijing.com.cn/vbj-s/2016/0829/20160829030329714.jpg,https://s.visitbeijing.com.cn/food/277
正隆斋,美食老字号,西城区西四北大街58号,正隆斋隶属北京正隆斋全素食品有限公司旗下食品品牌，由李国栋于1946年3月创建，主要自主生产、销售糕点、面包、生日类产品。,https://r1.visitbeijing.com.cn/vbj-s/2016/0823/20160823053029518.jpg,https://s.visitbeijing.com.cn/food/272
爆肚冯,美食老字号,西城区前门大街门框胡同廊坊二条56号,创自清光绪年间的百年老店金生隆人称爆肚冯，素以爆肚脆嫩，作料爽口为人称道。　　爆肚冯扬名于前门大栅栏内的门框胡同。　　爆肚冯为...,https://r1.visitbeijing.com.cn/vbj-s/2016/0524/20160524103555870.jpg,https://s.visitbeijing.com.cn/food/229
鸿宾楼,美食老字号,西城区展览馆路11号鸿宾楼,鸿宾楼饭庄创建于1853年，是久负盛名的清真风味饭庄，至今已有150多年的历史。鸿宾楼饭庄原址在天津。,https://r1.visitbeijing.com.cn/vbj-s/2013/0110/20130110102746887.jpg,https://s.visitbeijing.com.cn/food/87
丰泽园,美食老字号,西城区珠市口西大街83号,北京市丰泽园饭店是中外驰名的老字号企业，是在原丰泽园饭庄的基础上新扩建成的具有国际三星级水准的饭店。,https://r1.visitbeijing.com.cn/vbj-s/2012/1209/20121209054009190.jpg,https://s.visitbeijing.com.cn/food/63
峨嵋酒家,美食老字号,西城区北礼士路58号,峨嵋酒家开业于1950年，是北京第一家经营川菜的老字号饭庄。,https://r1.visitbeijing.com.cn/vbj-s/2012/1209/20121209092332222.jpg,https://s.visitbeijing.com.cn/food/61
